number1,number2,number3,number4,number5,number6,bonus_no,day,date
22,25,35,40,45,46,38,Wednesday," April 23, 2014"
6,15,40,41,42,44,4,Saturday," April 19, 2014"
3,16,26,40,41,49,14,Wednesday," April 16, 2014"
2,7,35,36,42,45,30,Saturday," April 12, 2014"
8,12,20,27,32,43,17,Wednesday," April 9, 2014"
13,16,17,23,27,37,3,Saturday," April 5, 2014"
9,11,32,36,38,40,26,Wednesday," April 2, 2014"
15,22,25,26,42,43,9,Saturday," March 29, 2014"
2,18,35,42,45,47,43,Wednesday," March 26, 2014"
3,6,12,14,25,28,36,Saturday," March 22, 2014"
13,24,28,34,45,49,21,Wednesday," March 19, 2014"
2,7,11,16,47,48,20,Saturday," March 15, 2014"
6,12,14,17,30,49,16,Wednesday," March 12, 2014"
11,16,18,33,34,35,28,Saturday," March 8, 2014"
7,26,31,38,46,47,12,Wednesday," March 5, 2014"
3,8,16,23,34,44,41,Saturday," March 1, 2014"
24,25,26,30,34,39,3,Wednesday," February 26, 2014"
9,13,19,22,33,34,20,Saturday," February 22, 2014"
2,7,15,24,37,45,13,Wednesday," February 19, 2014"
1,8,37,39,44,45,21,Saturday," February 15, 2014"
3,12,16,20,28,31,37,Wednesday," February 12, 2014"
2,5,16,36,41,43,25,Saturday," February 8, 2014"
3,16,18,21,28,47,5,Wednesday," February 5, 2014"
10,14,18,27,31,48,1,Saturday," February 1, 2014"
17,29,36,39,46,49,30,Wednesday," January 29, 2014"
6,15,22,23,41,43,37,Saturday," January 25, 2014"
4,16,18,25,36,40,11,Wednesday," January 22, 2014"
2,15,33,36,42,49,13,Saturday," January 18, 2014"
2,15,25,27,38,46,33,Wednesday," January 15, 2014"
3,11,15,21,23,33,32,Saturday," January 11, 2014"
1,12,17,22,29,44,35,Wednesday," January 8, 2014"
1,15,21,22,38,39,19,Saturday," January 4, 2014"
4,6,7,11,12,40,15,Wednesday," January 1, 2014"
17,19,21,30,39,44,16,Wednesday," December 30, 2015"
12,16,22,29,35,40,8,Saturday," December 26, 2015"
5,9,17,31,38,46,10,Wednesday," December 23, 2015"
4,15,20,23,27,49,25,Saturday," December 19, 2015"
7,20,33,36,39,48,21,Wednesday," December 16, 2015"
2,10,18,20,30,41,38,Saturday," December 12, 2015"
4,20,26,37,45,46,6,Wednesday," December 9, 2015"
10,11,17,24,26,29,12,Saturday," December 5, 2015"
5,20,33,34,38,48,21,Wednesday," December 2, 2015"
4,7,13,15,27,28,30,Saturday," November 28, 2015"
1,2,3,4,29,48,21,Wednesday," November 25, 2015"
7,16,28,29,48,49,9,Saturday," November 21, 2015"
3,8,25,27,36,38,32,Wednesday," November 18, 2015"
5,8,23,39,41,48,26,Saturday," November 14, 2015"
8,13,20,24,37,42,22,Wednesday," November 11, 2015"
2,3,9,17,20,21,11,Saturday," November 7, 2015"
2,4,20,35,39,42,28,Wednesday," November 4, 2015"
3,14,20,28,40,44,48,Saturday," October 31, 2015"
8,9,15,26,37,48,12,Wednesday," October 28, 2015"
1,13,28,34,37,45,32,Saturday," October 24, 2015"
8,17,22,33,40,49,27,Wednesday," October 21, 2015"
4,5,6,22,29,30,20,Saturday," October 17, 2015"
23,31,32,34,35,44,10,Wednesday," October 14, 2015"
8,12,22,27,35,41,16,Saturday," October 10, 2015"
4,10,19,31,38,43,5,Wednesday," October 7, 2015"
1,3,15,27,31,36,33,Saturday," October 3, 2015"
1,6,8,13,21,26,3,Wednesday," September 30, 2015"
6,13,14,24,32,34,12,Saturday," September 26, 2015"
7,13,19,35,42,44,46,Wednesday," September 23, 2015"
12,15,17,21,25,32,14,Saturday," September 19, 2015"
1,2,9,12,21,39,44,Wednesday," September 16, 2015"
9,10,26,29,38,42,33,Saturday," September 12, 2015"
15,16,29,30,42,44,37,Wednesday," September 9, 2015"
10,21,36,37,42,48,43,Saturday," September 5, 2015"
14,16,23,28,46,48,10,Wednesday," September 2, 2015"
13,30,36,40,42,46,22,Saturday," August 29, 2015"
5,7,24,45,46,49,44,Wednesday," August 26, 2015"
14,22,31,37,43,49,15,Saturday," August 22, 2015"
8,12,25,38,45,48,39,Wednesday," August 19, 2015"
5,11,20,26,29,36,49,Saturday," August 15, 2015"
20,24,27,28,38,48,2,Wednesday," August 12, 2015"
21,26,30,31,32,48,18,Saturday," August 8, 2015"
8,23,29,34,35,48,36,Wednesday," August 5, 2015"
1,4,7,9,12,37,27,Saturday," August 1, 2015"
1,8,29,31,35,39,23,Wednesday," July 29, 2015"
16,28,41,43,47,49,21,Saturday," July 25, 2015"
6,9,13,26,27,46,15,Wednesday," July 22, 2015"
2,12,22,28,41,48,5,Saturday," July 18, 2015"
11,18,38,40,43,46,26,Wednesday," July 15, 2015"
9,20,25,27,31,32,3,Saturday," July 11, 2015"
3,8,41,43,46,47,49,Wednesday," July 8, 2015"
20,22,23,24,39,41,26,Saturday," July 4, 2015"
21,29,32,40,43,44,19,Wednesday," July 1, 2015"
7,15,27,31,35,44,2,Saturday," June 27, 2015"
9,13,15,18,21,46,25,Wednesday," June 24, 2015"
10,11,30,33,41,44,20,Saturday," June 20, 2015"
6,7,17,18,20,32,4,Wednesday," June 17, 2015"
5,8,21,31,40,45,19,Saturday," June 13, 2015"
26,37,40,43,44,45,3,Wednesday," June 10, 2015"
8,12,22,35,38,44,27,Saturday," June 6, 2015"
26,28,33,35,37,46,47,Wednesday," June 3, 2015"
4,9,17,27,36,49,21,Saturday," May 30, 2015"
23,27,36,41,43,47,35,Wednesday," May 27, 2015"
8,23,24,31,35,44,49,Saturday," May 23, 2015"
2,4,12,17,18,47,14,Wednesday," May 20, 2015"
1,12,22,25,35,45,9,Saturday," May 16, 2015"
3,16,24,40,41,48,20,Wednesday," May 13, 2015"
1,16,21,22,33,43,7,Saturday," May 9, 2015"
13,16,19,24,27,30,48,Wednesday," May 6, 2015"
2,8,17,23,40,42,25,Saturday," May 2, 2015"
10,21,34,37,45,49,43,Wednesday," April 29, 2015"
7,13,23,25,40,41,48,Saturday," April 25, 2015"
4,24,27,35,38,48,44,Wednesday," April 22, 2015"
11,25,33,35,44,49,43,Saturday," April 18, 2015"
11,13,25,34,41,45,4,Wednesday," April 15, 2015"
5,8,22,23,27,37,11,Saturday," April 11, 2015"
2,4,14,16,18,19,25,Wednesday," April 8, 2015"
2,9,32,33,35,49,4,Saturday," April 4, 2015"
4,7,12,16,22,24,41,Wednesday," April 1, 2015"
12,15,21,23,40,48,8,Saturday," March 28, 2015"
6,14,16,29,38,46,5,Wednesday," March 25, 2015"
8,22,29,32,33,35,2,Saturday," March 21, 2015"
16,17,37,39,41,45,14,Wednesday," March 18, 2015"
9,19,38,40,45,47,13,Saturday," March 14, 2015"
7,9,21,40,44,45,42,Wednesday," March 11, 2015"
4,10,15,18,26,41,16,Saturday," March 7, 2015"
2,10,14,19,28,33,48,Wednesday," March 4, 2015"
5,14,39,42,46,49,17,Saturday," February 28, 2015"
15,17,25,29,30,35,14,Wednesday," February 25, 2015"
3,4,9,14,23,48,26,Saturday," February 21, 2015"
3,6,11,15,20,37,31,Wednesday," February 18, 2015"
9,10,15,18,21,37,20,Saturday," February 14, 2015"
1,13,24,29,43,49,8,Wednesday," February 11, 2015"
14,16,24,41,42,48,34,Saturday," February 7, 2015"
6,8,10,22,30,43,23,Wednesday," February 4, 2015"
9,13,18,20,24,36,5,Saturday," January 31, 2015"
3,4,5,8,33,38,14,Wednesday," January 28, 2015"
2,8,9,11,21,39,37,Saturday," January 24, 2015"
3,15,17,35,44,46,23,Wednesday," January 21, 2015"
9,15,21,27,35,40,5,Saturday," January 17, 2015"
15,16,17,28,33,44,36,Wednesday," January 14, 2015"
1,11,23,25,27,30,43,Saturday," January 10, 2015"
10,16,31,36,38,47,22,Wednesday," January 7, 2015"
12,21,28,37,40,43,38,Saturday," January 3, 2015"
3,5,14,18,26,28,40,Saturday," December 31, 2016"
1,5,10,15,40,41,27,Wednesday," December 28, 2016"
15,20,23,27,39,48,34,Saturday," December 24, 2016"
16,27,30,38,47,49,8,Wednesday," December 21, 2016"
9,16,26,27,32,34,37,Saturday," December 17, 2016"
20,22,40,41,42,47,15,Wednesday," December 14, 2016"
3,37,40,41,47,49,6,Saturday," December 10, 2016"
6,7,12,32,34,46,33,Wednesday," December 7, 2016"
3,4,7,19,30,48,21,Saturday," December 3, 2016"
15,16,20,24,26,31,37,Wednesday," November 30, 2016"
13,14,31,39,42,45,44,Saturday," November 26, 2016"
6,12,13,21,31,42,22,Wednesday," November 23, 2016"
9,11,21,26,28,45,49,Saturday," November 19, 2016"
3,5,6,9,33,47,19,Wednesday," November 16, 2016"
2,4,6,22,25,42,44,Saturday," November 12, 2016"
6,9,30,37,43,49,18,Wednesday," November 9, 2016"
11,17,26,27,37,48,31,Saturday," November 5, 2016"
4,7,9,21,25,42,49,Wednesday," November 2, 2016"
21,25,26,29,36,45,38,Saturday," October 29, 2016"
15,17,24,27,42,47,39,Wednesday," October 26, 2016"
13,24,29,31,33,47,43,Saturday," October 22, 2016"
4,21,28,33,38,41,23,Wednesday," October 19, 2016"
8,29,30,37,41,44,6,Saturday," October 15, 2016"
8,28,31,40,42,47,37,Wednesday," October 12, 2016"
3,27,33,38,42,48,32,Saturday," October 8, 2016"
1,3,31,32,39,49,48,Wednesday," October 5, 2016"
7,18,22,31,38,39,2,Saturday," October 1, 2016"
8,11,14,19,42,49,24,Wednesday," September 28, 2016"
2,5,17,23,33,47,9,Saturday," September 24, 2016"
6,21,33,36,39,46,24,Wednesday," September 21, 2016"
14,16,25,39,45,47,26,Saturday," September 17, 2016"
3,5,17,18,35,46,10,Wednesday," September 14, 2016"
6,13,22,39,40,41,27,Saturday," September 10, 2016"
4,8,30,31,35,43,42,Wednesday," September 7, 2016"
1,15,17,20,23,43,44,Saturday," September 3, 2016"
8,10,17,36,39,44,40,Wednesday," August 31, 2016"
3,14,16,33,47,48,29,Saturday," August 27, 2016"
4,17,22,30,36,38,3,Wednesday," August 24, 2016"
11,20,26,32,39,43,49,Saturday," August 20, 2016"
2,12,19,38,41,47,46,Wednesday," August 17, 2016"
3,4,15,17,38,47,36,Saturday," August 13, 2016"
6,25,26,29,37,43,41,Wednesday," August 10, 2016"
2,7,22,26,32,38,20,Saturday," August 6, 2016"
23,30,38,40,43,45,10,Wednesday," August 3, 2016"
4,5,9,19,22,23,16,Saturday," July 30, 2016"
6,7,9,39,47,49,15,Wednesday," July 27, 2016"
7,18,34,41,48,49,29,Saturday," July 23, 2016"
14,15,16,43,44,46,38,Wednesday," July 20, 2016"
15,25,26,33,38,47,27,Saturday," July 16, 2016"
2,7,25,30,34,36,6,Wednesday," July 13, 2016"
23,28,30,32,42,44,24,Saturday," July 9, 2016"
7,12,22,35,39,43,13,Wednesday," July 6, 2016"
1,16,28,33,39,45,13,Saturday," July 2, 2016"
8,11,20,24,41,42,47,Wednesday," June 29, 2016"
4,5,6,8,39,42,30,Saturday," June 25, 2016"
5,15,17,18,37,42,44,Wednesday," June 22, 2016"
7,8,22,32,40,45,25,Saturday," June 18, 2016"
7,16,22,27,35,49,11,Wednesday," June 15, 2016"
9,28,36,37,40,46,47,Saturday," June 11, 2016"
6,23,34,35,38,44,21,Wednesday," June 8, 2016"
3,4,6,10,18,26,14,Saturday," June 4, 2016"
2,10,14,23,26,31,12,Wednesday," June 1, 2016"
18,29,31,36,43,47,23,Saturday," May 28, 2016"
4,17,18,24,29,39,21,Wednesday," May 25, 2016"
6,10,37,39,42,48,28,Saturday," May 21, 2016"
4,11,21,25,44,47,3,Wednesday," May 18, 2016"
8,21,24,33,41,46,29,Saturday," May 14, 2016"
4,23,25,36,47,48,3,Wednesday," May 11, 2016"
6,8,25,31,32,33,1,Saturday," May 7, 2016"
4,16,19,22,36,40,21,Wednesday," May 4, 2016"
1,7,18,28,30,34,48,Saturday," April 30, 2016"
3,18,28,29,37,43,47,Wednesday," April 27, 2016"
14,29,37,41,48,49,31,Saturday," April 23, 2016"
1,2,7,9,18,27,5,Wednesday," April 20, 2016"
9,12,21,37,38,43,31,Saturday," April 16, 2016"
10,14,23,41,42,47,19,Wednesday," April 13, 2016"
12,29,34,44,47,49,37,Saturday," April 9, 2016"
1,3,5,8,13,31,21,Wednesday," April 6, 2016"
2,15,21,40,41,44,23,Saturday," April 2, 2016"
14,27,28,30,45,46,44,Wednesday," March 30, 2016"
9,11,20,22,37,46,47,Saturday," March 26, 2016"
4,6,13,28,29,36,9,Wednesday," March 23, 2016"
1,10,11,12,19,27,29,Saturday," March 19, 2016"
1,3,7,16,17,37,35,Wednesday," March 16, 2016"
6,27,30,34,35,42,16,Saturday," March 12, 2016"
3,5,11,16,21,45,29,Wednesday," March 9, 2016"
7,13,27,33,35,36,5,Saturday," March 5, 2016"
20,27,30,32,34,40,9,Wednesday," March 2, 2016"
4,11,20,23,41,45,22,Saturday," February 27, 2016"
14,18,35,38,41,43,15,Wednesday," February 24, 2016"
4,8,10,30,33,39,25,Saturday," February 20, 2016"
7,21,28,32,38,42,5,Wednesday," February 17, 2016"
2,9,25,27,31,42,18,Saturday," February 13, 2016"
8,13,33,34,38,43,12,Wednesday," February 10, 2016"
7,19,25,26,31,44,35,Saturday," February 6, 2016"
20,23,34,38,43,47,15,Wednesday," February 3, 2016"
4,5,32,37,38,44,34,Saturday," January 30, 2016"
4,13,24,36,39,41,47,Wednesday," January 27, 2016"
21,31,34,37,38,44,9,Saturday," January 23, 2016"
7,19,32,39,40,48,45,Wednesday," January 20, 2016"
9,21,29,34,38,42,13,Saturday," January 16, 2016"
6,8,25,39,46,47,28,Wednesday," January 13, 2016"
5,22,30,33,45,48,29,Saturday," January 9, 2016"
2,35,37,39,43,44,20,Wednesday," January 6, 2016"
10,12,16,20,27,36,25,Saturday," January 2, 2016"
8,12,23,25,45,47,43,Saturday," December 30, 2017"
4,7,10,14,27,31,1,Wednesday," December 27, 2017"
8,11,22,29,39,40,30,Saturday," December 23, 2017"
3,4,28,30,34,41,31,Wednesday," December 20, 2017"
2,13,24,26,31,41,40,Saturday," December 16, 2017"
12,29,30,40,45,48,27,Wednesday," December 13, 2017"
8,10,11,14,19,33,30,Saturday," December 9, 2017"
6,9,16,19,21,28,35,Wednesday," December 6, 2017"
10,12,29,33,47,48,24,Saturday," December 2, 2017"
11,18,27,33,37,43,20,Wednesday," November 29, 2017"
16,17,21,31,39,49,29,Saturday," November 25, 2017"
26,28,31,36,38,45,18,Wednesday," November 22, 2017"
9,16,18,22,23,40,13,Saturday," November 18, 2017"
18,25,29,30,36,48,47,Wednesday," November 15, 2017"
15,21,24,31,37,42,32,Saturday," November 11, 2017"
22,24,25,32,39,42,45,Wednesday," November 8, 2017"
1,3,6,21,22,33,19,Saturday," November 4, 2017"
1,23,29,32,45,49,16,Wednesday," November 1, 2017"
8,15,25,30,31,32,1,Saturday," October 28, 2017"
6,31,37,40,41,42,44,Wednesday," October 25, 2017"
3,24,26,30,34,49,47,Saturday," October 21, 2017"
11,25,33,35,40,42,15,Wednesday," October 18, 2017"
16,22,28,29,32,34,43,Saturday," October 14, 2017"
18,24,32,36,37,44,9,Wednesday," October 11, 2017"
8,22,28,40,46,49,9,Saturday," October 7, 2017"
4,6,10,11,20,35,43,Wednesday," October 4, 2017"
6,27,33,38,40,47,16,Saturday," September 30, 2017"
2,16,19,20,23,34,9,Wednesday," September 27, 2017"
4,11,15,20,35,47,25,Saturday," September 23, 2017"
6,17,29,37,45,47,39,Wednesday," September 20, 2017"
9,17,19,26,37,47,13,Saturday," September 16, 2017"
18,22,24,28,29,33,7,Wednesday," September 13, 2017"
5,9,18,29,39,47,35,Saturday," September 9, 2017"
9,15,18,21,24,28,14,Wednesday," September 6, 2017"
9,19,26,27,42,46,21,Saturday," September 2, 2017"
21,23,31,33,36,38,9,Wednesday," August 30, 2017"
5,7,32,38,40,46,47,Saturday," August 26, 2017"
9,15,24,33,40,46,38,Wednesday," August 23, 2017"
2,13,27,45,48,49,19,Saturday," August 19, 2017"
25,29,30,31,33,47,34,Wednesday," August 16, 2017"
5,8,13,25,33,45,38,Saturday," August 12, 2017"
16,23,28,38,41,43,19,Wednesday," August 9, 2017"
18,21,36,41,45,47,17,Saturday," August 5, 2017"
13,16,24,25,38,43,48,Wednesday," August 2, 2017"
12,15,17,31,47,49,26,Saturday," July 29, 2017"
1,2,18,26,36,44,49,Wednesday," July 26, 2017"
5,8,17,32,38,45,18,Saturday," July 22, 2017"
2,5,10,11,27,39,48,Wednesday," July 19, 2017"
10,12,27,29,34,48,39,Saturday," July 15, 2017"
12,13,30,41,45,49,16,Wednesday," July 12, 2017"
20,25,26,32,34,36,9,Saturday," July 8, 2017"
4,9,33,36,47,49,10,Wednesday," July 5, 2017"
15,16,22,33,37,41,27,Saturday," July 1, 2017"
8,21,25,34,46,48,4,Wednesday," June 28, 2017"
3,11,16,40,43,46,36,Saturday," June 24, 2017"
2,12,34,39,41,45,21,Wednesday," June 21, 2017"
5,6,18,21,36,44,32,Saturday," June 17, 2017"
17,24,26,27,35,49,33,Wednesday," June 14, 2017"
3,4,21,31,33,48,26,Saturday," June 10, 2017"
16,19,23,30,33,40,46,Wednesday," June 7, 2017"
7,12,32,36,40,44,45,Saturday," June 3, 2017"
1,3,8,9,12,40,2,Wednesday," May 31, 2017"
7,15,25,26,27,36,12,Saturday," May 27, 2017"
3,5,9,22,37,46,10,Wednesday," May 24, 2017"
5,8,10,20,33,34,45,Saturday," May 20, 2017"
9,17,36,38,41,45,39,Wednesday," May 17, 2017"
18,19,22,26,30,47,43,Saturday," May 13, 2017"
6,7,8,21,27,38,23,Wednesday," May 10, 2017"
6,7,9,11,34,38,8,Saturday," May 6, 2017"
1,5,7,16,28,46,30,Wednesday," May 3, 2017"
10,23,26,40,45,46,12,Saturday," April 29, 2017"
9,10,11,13,45,49,24,Wednesday," April 26, 2017"
4,7,15,16,43,48,26,Saturday," April 22, 2017"
4,11,21,24,44,49,41,Wednesday," April 19, 2017"
11,19,22,23,41,46,5,Saturday," April 15, 2017"
7,19,37,38,41,42,11,Wednesday," April 12, 2017"
4,9,10,15,38,39,49,Saturday," April 8, 2017"
3,10,19,30,44,48,40,Wednesday," April 5, 2017"
27,40,41,42,45,46,20,Saturday," April 1, 2017"
3,12,16,17,22,30,48,Wednesday," March 29, 2017"
5,9,14,24,30,35,21,Saturday," March 25, 2017"
2,3,5,27,40,46,28,Wednesday," March 22, 2017"
6,16,29,33,41,48,23,Saturday," March 18, 2017"
16,17,21,34,37,46,3,Wednesday," March 15, 2017"
6,10,11,23,42,47,44,Saturday," March 11, 2017"
10,17,24,28,35,36,40,Wednesday," March 8, 2017"
5,16,24,31,38,47,42,Saturday," March 4, 2017"
6,14,17,18,31,43,38,Wednesday," March 1, 2017"
21,23,31,33,38,42,22,Saturday," February 25, 2017"
9,21,25,26,31,41,11,Wednesday," February 22, 2017"
11,13,14,20,43,49,25,Saturday," February 18, 2017"
1,16,17,24,41,46,22,Wednesday," February 15, 2017"
10,11,21,28,38,44,17,Saturday," February 11, 2017"
3,4,8,12,13,46,26,Wednesday," February 8, 2017"
2,8,9,13,41,44,27,Saturday," February 4, 2017"
5,9,11,36,42,43,41,Wednesday," February 1, 2017"
9,10,23,28,41,47,17,Saturday," January 28, 2017"
2,14,19,28,42,44,34,Wednesday," January 25, 2017"
8,22,23,36,40,42,5,Saturday," January 21, 2017"
10,17,20,24,33,35,28,Wednesday," January 18, 2017"
1,6,19,30,32,44,33,Saturday," January 14, 2017"
24,34,36,38,42,43,30,Wednesday," January 11, 2017"
1,10,18,19,23,27,48,Saturday," January 7, 2017"
2,11,13,23,35,48,30,Wednesday," January 4, 2017"
11,16,17,22,29,47,32,Saturday," December 29, 2018"
2,14,27,36,38,48,40,Wednesday," December 26, 2018"
11,16,17,22,25,33,40,Saturday," December 22, 2018"
1,9,31,32,34,45,5,Wednesday," December 19, 2018"
11,12,22,36,46,47,7,Saturday," December 15, 2018"
10,13,23,27,31,42,17,Wednesday," December 12, 2018"
4,13,25,33,41,49,1,Saturday," December 8, 2018"
11,13,18,23,26,46,12,Wednesday," December 5, 2018"
10,14,16,27,33,47,30,Saturday," December 1, 2018"
3,17,21,29,47,49,7,Wednesday," November 28, 2018"
9,10,23,37,45,49,18,Saturday," November 24, 2018"
2,10,13,25,40,42,38,Wednesday," November 21, 2018"
5,17,18,34,44,45,27,Saturday," November 17, 2018"
5,10,20,23,35,42,44,Wednesday," November 14, 2018"
6,9,16,20,31,41,49,Saturday," November 10, 2018"
2,10,13,16,31,43,8,Wednesday," November 7, 2018"
7,8,24,32,42,48,45,Saturday," November 3, 2018"
4,9,11,15,25,27,5,Wednesday," October 31, 2018"
10,18,21,29,35,37,24,Saturday," October 27, 2018"
4,11,19,23,24,34,20,Wednesday," October 24, 2018"
4,12,16,25,30,31,8,Saturday," October 20, 2018"
10,32,37,45,46,47,6,Wednesday," October 17, 2018"
25,27,31,41,44,45,16,Saturday," October 13, 2018"
3,15,16,20,22,23,24,Wednesday," October 10, 2018"
20,23,24,33,37,48,22,Saturday," October 6, 2018"
15,32,38,40,44,45,2,Wednesday," October 3, 2018"
1,6,7,10,31,49,39,Saturday," September 29, 2018"
5,7,9,35,42,45,31,Wednesday," September 26, 2018"
19,34,36,39,40,49,2,Saturday," September 22, 2018"
3,9,15,17,23,45,18,Wednesday," September 19, 2018"
3,4,18,24,32,36,19,Saturday," September 15, 2018"
14,21,27,32,35,43,41,Wednesday," September 12, 2018"
8,10,31,41,46,47,45,Saturday," September 8, 2018"
4,6,15,32,36,47,48,Wednesday," September 5, 2018"
8,12,15,34,37,44,45,Saturday," September 1, 2018"
7,8,14,23,35,40,39,Wednesday," August 29, 2018"
3,6,12,24,43,49,46,Saturday," August 25, 2018"
3,4,19,30,37,40,10,Wednesday," August 22, 2018"
6,8,9,11,18,48,13,Saturday," August 18, 2018"
2,17,25,27,37,42,29,Wednesday," August 15, 2018"
2,9,16,27,38,41,34,Saturday," August 11, 2018"
9,18,21,22,29,37,17,Wednesday," August 8, 2018"
3,9,11,21,24,45,43,Saturday," August 4, 2018"
13,19,22,29,36,42,35,Wednesday," August 1, 2018"
5,11,17,20,28,45,7,Saturday," July 28, 2018"
2,7,15,31,33,42,20,Wednesday," July 25, 2018"
2,9,22,26,27,30,41,Saturday," July 21, 2018"
3,14,16,19,44,48,1,Wednesday," July 18, 2018"
8,10,12,17,22,37,29,Saturday," July 14, 2018"
1,9,11,38,45,48,25,Wednesday," July 11, 2018"
1,3,25,40,44,47,2,Saturday," July 7, 2018"
6,25,37,44,47,49,26,Wednesday," July 4, 2018"
2,3,7,11,16,20,17,Saturday," June 30, 2018"
4,6,10,13,14,28,47,Wednesday," June 27, 2018"
8,11,31,36,41,45,40,Saturday," June 23, 2018"
14,24,31,35,37,48,17,Wednesday," June 20, 2018"
2,15,21,31,38,49,8,Saturday," June 16, 2018"
6,22,24,31,32,34,16,Wednesday," June 13, 2018"
19,25,31,36,46,47,26,Saturday," June 9, 2018"
10,15,23,38,40,41,35,Wednesday," June 6, 2018"
2,26,32,40,45,49,29,Saturday," June 2, 2018"
9,14,17,21,38,39,22,Wednesday," May 30, 2018"
12,13,16,23,39,44,2,Saturday," May 26, 2018"
4,9,15,20,42,44,31,Wednesday," May 23, 2018"
14,15,28,34,38,44,30,Saturday," May 19, 2018"
19,21,28,30,39,46,7,Wednesday," May 16, 2018"
6,17,21,34,37,44,13,Saturday," May 12, 2018"
15,17,21,24,36,37,32,Wednesday," May 9, 2018"
4,18,24,26,33,48,34,Saturday," May 5, 2018"
4,7,28,36,37,49,21,Wednesday," May 2, 2018"
24,31,33,34,44,46,10,Saturday," April 28, 2018"
10,14,15,16,40,46,6,Wednesday," April 25, 2018"
12,19,20,30,41,49,9,Saturday," April 21, 2018"
12,17,19,22,27,39,38,Wednesday," April 18, 2018"
1,11,19,36,48,49,9,Saturday," April 14, 2018"
3,7,10,32,41,43,33,Wednesday," April 11, 2018"
18,22,36,40,47,49,32,Saturday," April 7, 2018"
6,8,9,13,34,40,4,Wednesday," April 4, 2018"
3,7,22,26,43,47,48,Saturday," March 31, 2018"
11,12,19,24,28,46,39,Wednesday," March 28, 2018"
9,11,28,30,45,49,5,Saturday," March 24, 2018"
1,5,9,12,39,41,28,Wednesday," March 21, 2018"
16,17,35,43,44,46,49,Saturday," March 17, 2018"
1,9,10,19,33,43,21,Wednesday," March 14, 2018"
2,10,28,43,44,48,39,Saturday," March 10, 2018"
6,30,33,38,45,46,40,Wednesday," March 7, 2018"
12,17,25,30,32,39,47,Saturday," March 3, 2018"
3,14,36,38,40,48,23,Wednesday," February 28, 2018"
3,13,19,26,33,44,5,Saturday," February 24, 2018"
10,11,24,25,30,49,47,Wednesday," February 21, 2018"
18,29,31,36,47,48,17,Saturday," February 17, 2018"
8,15,17,22,30,43,13,Wednesday," February 14, 2018"
18,20,21,22,30,33,26,Saturday," February 10, 2018"
3,8,11,18,28,45,6,Wednesday," February 7, 2018"
10,13,16,23,36,44,42,Saturday," February 3, 2018"
1,7,27,31,34,39,3,Wednesday," January 31, 2018"
7,8,13,24,28,35,26,Saturday," January 27, 2018"
9,20,21,28,34,35,33,Wednesday," January 24, 2018"
6,10,14,27,30,40,5,Saturday," January 20, 2018"
6,24,34,39,43,44,8,Wednesday," January 17, 2018"
21,26,32,40,42,44,12,Saturday," January 13, 2018"
9,10,19,23,28,49,15,Wednesday," January 10, 2018"
12,25,36,39,42,45,29,Saturday," January 6, 2018"
3,13,20,35,37,39,14,Wednesday," January 3, 2018"
2,4,12,18,29,41,30,Saturday," December 28, 2019"
17,24,28,33,36,45,48,Wednesday," December 25, 2019"
16,18,19,45,47,48,21,Saturday," December 21, 2019"
18,22,25,36,38,44,8,Wednesday," December 18, 2019"
9,12,17,23,41,44,3,Saturday," December 14, 2019"
7,17,21,34,47,48,27,Wednesday," December 11, 2019"
18,32,36,37,38,45,13,Saturday," December 7, 2019"
2,3,4,10,21,43,19,Wednesday," December 4, 2019"
1,8,18,24,30,45,13,Saturday," November 30, 2019"
13,15,16,20,39,42,27,Wednesday," November 27, 2019"
16,19,24,29,31,36,8,Saturday," November 23, 2019"
4,20,29,30,36,45,22,Wednesday," November 20, 2019"
2,3,4,11,27,47,17,Saturday," November 16, 2019"
1,19,31,44,46,49,3,Wednesday," November 13, 2019"
12,31,36,37,46,49,43,Saturday," November 9, 2019"
6,8,13,14,35,40,26,Wednesday," November 6, 2019"
8,16,19,20,39,43,28,Saturday," November 2, 2019"
23,30,33,34,41,45,31,Wednesday," October 30, 2019"
4,12,15,26,43,44,2,Saturday," October 26, 2019"
11,13,24,28,40,46,44,Wednesday," October 23, 2019"
2,16,28,47,48,49,35,Saturday," October 19, 2019"
2,4,9,24,44,45,18,Wednesday," October 16, 2019"
13,16,25,32,33,41,2,Saturday," October 12, 2019"
5,14,18,33,40,44,16,Wednesday," October 9, 2019"
14,15,35,38,42,46,12,Saturday," October 5, 2019"
20,28,29,41,45,46,27,Wednesday," October 2, 2019"
1,4,5,7,21,40,41,Saturday," September 28, 2019"
16,25,28,29,39,47,17,Wednesday," September 25, 2019"
1,2,4,32,38,39,21,Saturday," September 21, 2019"
3,10,15,23,45,47,9,Wednesday," September 18, 2019"
6,13,28,29,35,43,25,Saturday," September 14, 2019"
2,4,27,36,45,49,41,Wednesday," September 11, 2019"
25,28,37,38,42,48,34,Saturday," September 7, 2019"
1,4,5,17,21,29,46,Wednesday," September 4, 2019"
2,21,22,24,48,49,23,Saturday," August 31, 2019"
1,10,18,39,43,47,26,Wednesday," August 28, 2019"
3,7,8,14,20,24,31,Saturday," August 24, 2019"
2,17,24,25,40,43,16,Wednesday," August 21, 2019"
4,31,34,39,41,48,43,Saturday," August 17, 2019"
9,14,18,31,32,41,38,Wednesday," August 14, 2019"
